"","County","IndexTotal","ViolentTotal","PropertyTotal","Murder","Rape","Robbery","AggravatedAssault","Burglary","Larceny","MotorVehicleTheft"
"1","Albany",25176,3289,21887,31,366,808,2084,2297,18895,695
"2","Allegany",1421,216,1205,3,93,8,112,263,889,53
"3","Bronx",106117,38205,67912,247,1858,10313,25787,5953,58024,3935
"4","Broome",15887,1920,13967,14,412,349,1145,2272,11261,434
"5","Cattaraugus",3191,403,2788,4,118,28,253,463,2198,127
"6","Cayuga",3819,595,3224,1,188,67,339,453,2664,107
"7","Chautauqua",8238,1011,7227,8,231,142,630,1529,5466,232
"8","Chemung",4628,455,4173,8,66,102,279,621,3452,100
"9","Chenango",2212,281,1931,4,158,9,110,384,1503,44
"10","Clinton",3545,437,3108,3,216,21,197,438,2598,72
"11","Columbia",2575,329,2246,3,117,18,191,353,1828,65
"12","Cortland",2509,194,2315,2,103,26,63,453,1817,45
"13","Delaware",1653,218,1435,1,103,10,104,286,1107,42
"14","Dutchess",11303,1679,9624,16,323,322,1018,1051,8230,343
"15","Erie",67219,10380,56839,163,800,3233,6184,9861,43642,3336
"16","Essex",1042,163,879,3,88,4,68,198,651,30
"17","Franklin",1708,239,1469,1,148,11,79,301,1101,67
"18","Fulton",3043,388,2655,1,159,29,199,331,2245,79
"19","Genesee",3101,431,2670,4,115,54,258,391,2169,110
"20","Greene",1833,432,1401,3,119,13,297,295,1070,36
"21","Hamilton",111,10,101,0,3,1,6,32,64,5
"22","Herkimer",2746,390,2356,1,107,21,261,398,1879,79
"23","Jefferson",6144,739,5405,4,289,63,383,725,4537,143
"24","Kings",147607,43171,104436,309,2353,12685,27824,10447,88511,5478
"25","Lewis",627,97,530,2,50,1,44,166,343,21
"26","Livingston",2043,175,1868,0,80,19,76,206,1608,54
"27","Madison",2770,346,2424,2,163,25,156,373,1982,69
"28","Monroe",51603,6966,44637,108,810,2136,3912,6446,35387,2804
"29","Montgomery",2347,237,2110,4,83,32,118,310,1717,83
"30","Nassau",40752,4798,35954,48,124,1598,3028,2989,31006,1959
"31","New York",146834,27401,119433,129,1697,8595,16980,7003,110368,2062
"32","Niagara",13810,1990,11820,11,265,489,1225,1833,9246,741
"33","Oneida",13989,1986,12003,19,535,381,1051,1764,9784,455
"34","Onondaga",30759,4326,26433,71,633,1004,2618,4346,20020,2067
"35","Ontario",4556,431,4125,5,188,42,196,649,3386,90
"36","Orange",17877,2375,15502,23,443,508,1401,1589,13485,428
"37","Orleans",1850,210,1640,1,58,23,128,271,1301,68
"38","Oswego",5903,587,5316,4,262,47,274,905,4172,239
"39","Otsego",2073,287,1786,5,128,9,145,285,1455,46
"40","Putnam",1506,157,1349,1,48,20,88,174,1129,46
"41","Queens",98478,27433,71045,184,1720,7878,17651,7379,58948,4718
"42","Rensselaer",9817,1235,8582,10,189,326,710,1380,6791,411
"43","Richmond",16496,4157,12339,37,331,882,2907,1005,10736,598
"44","Rockland",9440,1120,8320,5,190,264,661,614,7474,232
"45","Saratoga",7787,711,7076,7,226,68,410,842,6041,193
"46","Schenectady",13163,1998,11165,6,229,464,1299,1394,9092,679
"47","Schoharie",869,110,759,1,56,4,49,147,586,26
"48","Schuyler",196,40,156,0,20,0,20,29,118,9
"49","Seneca",1475,166,1309,3,64,8,91,147,1143,19
"50","St Lawrence",4026,392,3634,2,140,37,213,628,2901,105
"51","Steuben",3214,468,2746,2,195,29,242,534,2123,89
"52","Suffolk",58567,4673,53894,69,602,1262,2740,3956,47034,2904
"53","Sullivan",3496,603,2893,4,232,45,322,662,2132,99
"54","Tioga",1246,149,1097,2,78,7,62,208,827,62
"55","Tompkins",5739,438,5301,3,180,89,166,578,4627,96
"56","Ulster",6838,821,6017,10,231,81,499,836,4966,215
"57","Warren",2758,287,2471,4,136,22,125,280,2126,65
"58","Washington",1266,227,1039,3,127,11,86,191,811,37
"59","Wayne",4195,526,3669,8,214,52,252,695,2844,130
"60","Westchester",31059,5253,25806,46,379,1497,3331,2502,21799,1505
"61","Wyoming",936,180,756,1,55,8,116,132,593,31
"62","Yates",691,66,625,1,28,0,37,136,479,10
